Date,Price,Open,High,Low,Vol.,Change %
09/08/2021,251.29,253.86,254.82,246.92,56.38M,0.13%
09/09/2021,251.62,251.14,254.03,250.54,42.23M,0.13%
09/10/2021,245.42,253.2,254.2,244.84,45.55M,-2.46%
09/13/2021,247.67,246.74,248.26,236.28,68.86M,0.92%
09/14/2021,248.16,247.52,251.49,245.47,55.57M,0.20%
09/15/2021,251.94,248.33,252.29,246.12,46.07M,1.52%
09/16/2021,252.33,250.94,252.97,249.2,41.77M,0.15%
09/17/2021,253.16,252.38,253.68,250,84.61M,0.33%
09/20/2021,243.39,244.85,247.33,239.54,74.27M,-3.86%
09/21/2021,246.46,244.93,248.25,243.48,48.99M,1.26%
09/22/2021,250.65,247.84,251.22,246.37,45.38M,1.70%
09/23/2021,251.21,251.67,252.73,249.31,35.84M,0.22%
09/24/2021,258.13,248.63,258.27,248.19,64.12M,2.75%
09/27/2021,263.79,257.71,266.33,256.44,84.21M,2.19%
09/28/2021,259.19,262.4,265.21,255.39,76.14M,-1.74%
09/29/2021,260.44,259.93,264.5,256.89,62.83M,0.48%
09/30/2021,258.49,260.33,263.04,258.33,53.87M,-0.75%
10/01/2021,258.41,259.47,260.26,254.53,51.09M,-0.03%
10/04/2021,260.51,265.5,268.99,258.71,91.45M,0.81%
10/05/2021,260.2,261.6,265.77,258.07,55.30M,-0.12%
10/06/2021,260.92,258.73,262.22,257.74,43.90M,0.28%
10/07/2021,264.54,261.82,268.33,261.13,57.59M,1.39%
10/08/2021,261.83,265.4,265.46,260.3,50.22M,-1.02%
10/11/2021,263.98,262.55,267.08,261.83,42.60M,0.82%
10/12/2021,268.57,266.98,270.77,265.52,66.06M,1.74%
10/13/2021,270.36,270.16,271.8,268.59,42.36M,0.67%
10/14/2021,272.77,271.83,273.42,271.12,36.74M,0.89%
10/15/2021,281.01,274.58,281.07,274.12,56.77M,3.02%
10/18/2021,290.04,283.93,291.75,283.82,72.62M,3.21%
10/19/2021,288.09,292.51,292.65,287.5,52.14M,-0.67%
10/20/2021,288.6,288.45,289.83,285.79,42.10M,0.18%
10/21/2021,298,285.33,300,285.17,94.44M,3.26%
10/22/2021,303.23,298.5,303.33,296.99,68.64M,1.76%
10/25/2021,341.62,316.84,348.34,314.73,188.56M,12.66%
10/26/2021,339.48,341.56,364.98,333.81,187.25M,-0.63%
10/27/2021,345.95,346.55,356.96,343.59,115.58M,1.91%
10/28/2021,359.01,356.1,360.33,351.4,81.64M,3.78%
10/29/2021,371.33,360.62,371.74,357.73,89.76M,3.43%
11/01/2021,402.86,381.67,403.25,372.89,168.15M,8.49%
11/02/2021,390.67,386.45,402.86,382,128.21M,-3.03%
11/03/2021,404.62,392.44,405.13,384.21,103.89M,3.57%
11/04/2021,409.97,411.47,414.5,405.67,76.19M,1.32%
11/05/2021,407.36,409.33,413.29,402.67,64.89M,-0.64%
11/08/2021,387.65,383.26,399,377.67,100.34M,-4.84%
11/09/2021,341.17,391.2,391.5,337.17,177.32M,-11.99%
11/10/2021,355.98,336.8,359.37,329.1,128.41M,4.34%
11/11/2021,354.5,367.59,368.32,351.56,67.19M,-0.42%
11/12/2021,344.47,349.17,351.5,339.73,76.72M,-2.83%
11/15/2021,337.8,339.21,343.99,326.2,104.33M,-1.94%
11/16/2021,351.58,334.44,352.4,334.06,79.63M,4.08%
11/17/2021,363,354.5,373.21,351.83,94.34M,3.25%
11/18/2021,365.46,368.85,370.67,358.34,62.70M,0.68%
11/19/2021,379.02,366.29,379.57,364.23,64.93M,3.71%
11/22/2021,385.62,387.44,400.65,377.48,99.22M,1.74%
11/23/2021,369.68,389.17,393.5,354.23,108.52M,-4.13%
11/24/2021,372,360.13,377.59,354,67.68M,0.63%
11/26/2021,360.64,366.49,369.59,360.33,35.04M,-3.05%
11/29/2021,379,367,380.89,366.73,58.39M,5.09%
11/30/2021,381.59,381.46,389.33,372.67,81.28M,0.68%
12/01/2021,365,386.9,390.95,363.59,68.80M,-4.35%
12/02/2021,361.53,366.35,371,352.22,73.11M,-0.95%
12/03/2021,338.32,361.6,363.52,333.4,92.32M,-6.42%
12/06/2021,336.34,333.84,340.55,316.83,81.66M,-0.59%
12/07/2021,350.58,348.07,352.56,342.27,56.08M,4.23%
12/08/2021,356.32,350.9,357.46,344.33,41.91M,1.64%
12/09/2021,334.6,353.55,354.16,334.12,59.44M,-6.10%
12/10/2021,339.01,336.25,340.33,327.51,59.66M,1.32%
12/13/2021,322.14,333.7,335,317.14,78.60M,-4.98%
12/14/2021,319.5,315,322.14,310,70.81M,-0.82%
12/15/2021,325.33,317.74,326.25,309.42,75.17M,1.82%
12/16/2021,308.97,331.5,331.66,307.28,82.77M,-5.03%
12/17/2021,310.86,304.92,320.22,303.01,100.88M,0.61%
12/20/2021,299.98,303.57,307.23,297.8,56.48M,-3.50%
12/21/2021,312.84,305.62,313.17,295.37,71.52M,4.29%
12/22/2021,336.29,321.89,338.55,319.02,93.63M,7.50%
12/23/2021,355.67,335.6,357.66,332.52,92.71M,5.76%
12/27/2021,364.65,357.89,372.33,356.9,71.15M,2.52%
12/28/2021,362.82,369.83,373,359.47,60.32M,-0.50%
12/29/2021,362.06,366.21,368,354.71,56.15M,-0.21%
12/30/2021,356.78,353.78,365.18,351.05,47.04M,-1.46%
12/31/2021,352.26,357.81,360.67,351.53,40.73M,-1.27%
01/03/2022,399.93,382.58,400.36,378.68,104.69M,13.53%
01/04/2022,383.2,396.52,402.67,374.35,100.25M,-4.18%
01/05/2022,362.71,382.22,390.11,360.34,80.12M,-5.35%
01/06/2022,354.9,359,362.67,340.17,90.34M,-2.15%
01/07/2022,342.32,360.12,360.31,336.67,84.16M,-3.54%
01/10/2022,352.71,333.33,353.03,326.67,91.81M,3.04%
01/11/2022,354.8,351.22,358.62,346.27,66.06M,0.59%
01/12/2022,368.74,359.62,371.61,357.53,83.74M,3.93%
01/13/2022,343.85,369.69,371.87,342.18,97.21M,-6.75%
01/14/2022,349.87,339.96,350.67,337.79,72.92M,1.75%
01/18/2022,343.5,342.2,356.93,338.69,66.99M,-1.82%
01/19/2022,331.88,347.23,351.56,331.67,75.44M,-3.38%
01/20/2022,332.09,336.58,347.22,331.33,70.49M,0.06%
01/21/2022,314.63,332.11,334.85,313.5,103.42M,-5.26%
01/24/2022,310,301.59,311.17,283.82,152.38M,-1.47%
01/25/2022,306.13,304.73,317.09,301.07,86.60M,-1.25%
01/26/2022,312.47,317.48,329.23,302,104.87M,2.07%
01/27/2022,276.37,311.12,311.8,276.33,147.11M,-11.55%
01/28/2022,282.12,277.19,285.83,264,134.79M,2.08%
01/31/2022,312.24,290.9,312.66,287.35,104.44M,10.68%
02/01/2022,310.42,311.74,314.57,301.67,73.14M,-0.58%
02/02/2022,301.89,309.39,310.5,296.47,66.79M,-2.75%
02/03/2022,297.05,294,312.33,293.51,78.86M,-1.60%
02/04/2022,307.77,299.07,312.17,293.72,73.63M,3.61%
02/07/2022,302.45,307.93,315.92,300.9,60.99M,-1.73%
02/08/2022,307.33,301.84,308.76,298.27,50.73M,1.61%
02/09/2022,310.67,311.67,315.42,306.67,52.26M,1.09%
02/10/2022,301.52,302.79,314.6,298.9,66.13M,-2.95%
02/11/2022,286.67,303.21,305.32,283.57,79.65M,-4.93%
02/14/2022,291.92,287.19,299.63,284.38,67.76M,1.83%
02/15/2022,307.48,300,307.67,297.79,57.65M,5.33%
02/16/2022,307.8,304.68,308.81,300.4,51.29M,0.10%
02/17/2022,292.12,304.42,306.17,291.37,55.18M,-5.09%
02/18/2022,285.66,295.33,295.62,279.2,68.50M,-2.21%
02/22/2022,273.84,278.04,285.58,267.03,83.29M,-4.14%
02/23/2022,254.68,276.81,278.43,253.52,95.26M,-7.00%
02/24/2022,266.92,233.46,267.49,233.33,135.32M,4.81%
02/25/2022,269.96,269.74,273.17,260.8,76.07M,1.14%
02/28/2022,290.14,271.67,292.29,271.57,99.01M,7.48%
03/01/2022,288.12,289.89,296.63,284.59,74.77M,-0.70%
03/02/2022,293.3,290.71,295.49,281.42,74.64M,1.80%
03/03/2022,279.76,292.92,295.48,277.53,61.62M,-4.62%
03/04/2022,279.43,283.03,285.22,275.05,67.18M,-0.12%
03/07/2022,268.19,285.43,288.71,268.19,72.49M,-4.02%
03/08/2022,274.8,265.18,283.33,260.72,80.40M,2.46%
03/09/2022,286.32,279.83,286.85,277.34,59.18M,4.19%
03/10/2022,279.43,283.82,284.82,270.12,58.65M,-2.41%
03/11/2022,265.12,280.07,281.27,264.59,67.04M,-5.12%
03/14/2022,255.46,260.2,266.9,252.01,71.15M,-3.64%
03/15/2022,267.3,258.42,268.52,252.19,66.84M,4.63%
03/16/2022,280.08,269.67,280.67,267.42,84.03M,4.78%
03/17/2022,290.53,277,291.67,275.24,66.58M,3.73%
03/18/2022,301.8,291.5,302.62,289.13,100.41M,3.88%
03/21/2022,307.05,304.99,314.28,302.36,81.98M,1.74%
03/22/2022,331.33,310,332.62,307.25,105.87M,7.91%
03/23/2022,333.04,326.65,346.9,325.47,120.68M,0.52%
03/24/2022,337.97,336.58,341.5,329.6,68.92M,1.48%
03/25/2022,336.88,336,340.6,332.44,62.03M,-0.32%
03/28/2022,363.95,355.03,365.96,351.2,102.51M,8.04%
03/29/2022,366.52,369.33,371.59,357.7,73.61M,0.71%
03/30/2022,364.66,363.72,371.32,361.33,59.87M,-0.51%
03/31/2022,359.2,364.86,367.71,358.88,48.99M,-1.50%
04/01/2022,361.53,360.38,364.92,355.55,54.26M,0.65%
04/04/2022,381.82,363.13,383.3,357.51,82.18M,5.61%
04/05/2022,363.75,378.77,384.29,362.43,80.08M,-4.73%
04/06/2022,348.59,357.82,359.67,342.57,89.35M,-4.17%
04/07/2022,352.42,350.8,358.86,340.51,79.45M,1.10%
04/08/2022,341.83,347.74,349.48,340.81,55.01M,-3.00%
04/11/2022,325.31,326.8,336.16,324.88,59.36M,-4.83%
04/12/2022,328.98,332.55,340.4,325.53,65.98M,1.13%
04/13/2022,340.79,327.02,342.08,324.37,55.12M,3.59%
04/14/2022,328.33,333.1,337.57,327.4,58.42M,-3.66%
04/18/2022,334.76,329.68,338.31,324.47,51.72M,1.96%
04/19/2022,342.72,335.02,344.98,331.77,49.85M,2.38%
04/20/2022,325.73,343.33,344.67,325.08,70.71M,-4.96%
04/21/2022,336.26,358.24,364.07,332.14,105.42M,3.23%
04/22/2022,335.02,338.3,344.95,331.33,69.70M,-0.37%
04/25/2022,332.67,326.32,336.21,325.1,68.34M,-0.70%
04/26/2022,292.14,331.81,333.33,291.67,136.13M,-12.18%
04/27/2022,293.84,299.53,306,292.45,76.96M,0.58%
04/28/2022,292.5,299.99,300,273.9,124.95M,-0.45%
04/29/2022,290.25,300.75,311.47,290,88.13M,-0.77%
05/02/2022,300.98,286.92,302.12,282.68,75.78M,3.70%
05/03/2022,303.08,301.06,308.03,296.2,63.71M,0.70%
05/04/2022,317.54,301.31,318.5,295.09,81.64M,4.77%
05/05/2022,291.09,313.07,315.2,285.9,92.52M,-8.33%
05/06/2022,288.55,295.67,296,281.03,72.90M,-0.87%
05/09/2022,262.37,278.82,281.88,260.38,90.81M,-9.07%
05/10/2022,266.68,273.1,275.12,258.08,84.40M,1.64%
05/11/2022,244.67,265,269.92,242.4,97.23M,-8.25%
05/12/2022,242.67,233.67,253.22,226.67,140.31M,-0.82%
05/13/2022,256.53,257.83,262.45,250.52,92.15M,5.71%
05/16/2022,241.46,255.72,256.59,239.7,86.10M,-5.88%
05/17/2022,253.87,249.12,254.83,242.95,80.24M,5.14%
05/18/2022,236.6,248.17,253.5,233.6,87.81M,-6.80%
05/19/2022,236.47,235.67,244.67,231.37,90.30M,-0.05%
05/20/2022,221.3,238,240.53,211,144.97M,-6.42%
05/23/2022,224.97,218.34,226.65,212.69,88.90M,1.66%
05/24/2022,209.39,217.84,217.97,206.86,89.09M,-6.93%
05/25/2022,219.6,207.95,223.11,207.67,92.14M,4.88%
05/26/2022,235.91,220.47,239.56,217.89,106.00M,7.43%
05/27/2022,253.21,241.08,253.27,240.18,89.30M,7.33%
05/31/2022,252.75,257.95,259.6,244.74,101.91M,-0.18%
06/01/2022,246.79,251.72,257.33,243.64,77.25M,-2.36%
06/02/2022,258.33,244.16,264.21,242.07,93.47M,4.68%
06/03/2022,234.52,243.22,247.8,233.42,112.39M,-9.22%
06/06/2022,238.28,244.35,244.87,234.35,84.21M,1.60%
06/07/2022,238.89,234,240,230.09,72.81M,0.25%
06/08/2022,241.87,240.09,249.96,239.18,76.21M,1.25%
06/09/2022,239.71,249.34,255.55,239.33,96.49M,-0.89%
06/10/2022,232.23,235.16,239.5,227.91,98.09M,-3.12%
06/13/2022,215.74,223.17,226.63,214.68,102.77M,-7.10%
06/14/2022,220.89,218.29,226.33,211.74,97.99M,2.39%
06/15/2022,233,220.92,235.66,218.15,119.13M,5.48%
06/16/2022,213.1,222.74,225.17,208.69,107.39M,-8.54%
06/17/2022,216.76,213.43,220.97,213.2,92.64M,1.72%
06/21/2022,237.04,224.6,243.58,224.33,122.79M,9.35%
06/22/2022,236.09,234.5,246.83,233.83,101.53M,-0.40%
06/23/2022,235.07,237.9,239.32,228.64,104.20M,-0.43%
06/24/2022,245.71,237.47,246.07,236.09,95.77M,4.52%
06/27/2022,244.92,249.37,252.07,242.57,89.18M,-0.32%
06/28/2022,232.66,244.48,249.97,232.34,90.67M,-5.00%
06/29/2022,228.49,230.5,231.17,222.27,82.90M,-1.79%
06/30/2022,224.47,224.51,229.46,218.86,94.60M,-1.76%
07/01/2022,227.26,227,230.23,222.12,74.46M,1.24%
07/05/2022,233.07,223,233.15,216.17,84.78M,2.55%
07/06/2022,231.73,230.78,234.56,227.19,71.85M,-0.57%
07/07/2022,244.54,233.92,245.36,232.21,81.93M,5.53%
07/08/2022,250.76,242.33,254.98,241.16,101.85M,2.54%
07/11/2022,234.34,252.1,253.06,233.63,99.51M,-6.55%
07/12/2022,233.07,236.85,239.77,228.37,87.93M,-0.54%
07/13/2022,237.04,225.5,242.06,225.03,97.96M,1.70%
07/14/2022,238.31,234.9,238.65,229.33,78.56M,0.54%
07/15/2022,240.07,240,243.62,236.89,69.68M,0.74%
07/18/2022,240.55,244.94,250.52,239.6,82.54M,0.20%
07/19/2022,245.53,245,247.14,236.98,80.89M,2.07%
07/20/2022,247.5,246.78,250.66,243.48,88.86M,0.80%
07/21/2022,271.71,255.11,273.27,254.87,142.03M,9.78%
07/22/2022,272.24,276.22,280.79,270.71,103.47M,0.20%
07/25/2022,268.43,272.22,274.15,267.4,64.07M,-1.40%
07/26/2022,258.86,266.51,267.31,256.26,66.82M,-3.57%
07/27/2022,274.82,263.81,275.93,261.79,88.11M,6.17%
07/28/2022,280.9,280.07,283.3,272.8,84.72M,2.21%
07/29/2022,297.15,280.7,298.32,279.1,95.31M,5.78%
08/01/2022,297.28,301.27,311.88,295,117.04M,0.04%
08/02/2022,300.59,294,307.83,292.67,95.58M,1.11%
08/03/2022,307.4,305,309.55,301.15,80.09M,2.27%
08/04/2022,308.63,311,313.61,305,72.26M,0.40%
08/05/2022,288.17,302.67,304.61,285.54,113.17M,-6.63%
08/08/2022,290.42,295,305.2,289.09,99.37M,0.78%
08/09/2022,283.33,290.29,292.4,279.35,86.25M,-2.44%
08/10/2022,294.36,297.07,297.51,283.37,94.92M,3.89%
08/11/2022,286.63,296.51,298.24,285.83,70.16M,-2.62%
08/12/2022,300.03,289.41,300.16,285.03,79.66M,4.68%
08/15/2022,309.32,301.79,313.13,301.23,89.36M,3.10%
08/16/2022,306.56,311.67,314.67,302.88,88.14M,-0.89%
08/17/2022,304,303.4,309.66,300.03,68.77M,-0.84%
08/18/2022,302.87,306,306.5,301.85,47.50M,-0.37%
08/19/2022,296.67,299,300.36,292.5,61.40M,-2.05%
08/22/2022,289.91,291.91,292.4,286.3,55.84M,-2.28%
08/23/2022,296.45,291.45,298.83,287.92,63.99M,2.26%
08/24/2022,297.1,297.56,303.65,296.5,57.26M,0.22%
08/25/2022,296.07,302.36,302.96,291.6,53.23M,-0.35%
08/26/2022,288.09,297.43,302,287.47,57.16M,-2.70%
08/29/2022,284.82,282.83,287.74,280.7,41.87M,-1.14%
08/30/2022,277.7,287.86,288.48,272.65,50.54M,-2.50%
08/31/2022,275.61,280.62,281.25,271.81,52.11M,-0.75%
09/01/2022,277.16,272.58,277.58,266.15,54.29M,0.56%
09/02/2022,270.21,281.07,282.35,269.08,50.89M,-2.51%
